"site","min","max","temp_diff","ore","azimuth","entrance_height","entrance_width","levels","shafts","1980","1981","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
"Douglas Houghton Adit #2",Inf,-Inf,-Inf,"Copper",NA,NA,NA,"1",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle Point Cave",Inf,-Inf,-Inf,"Limestone",NA,"15","7","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle River Adit  1 (Lake Superior & Phoenix)",4,6.5,2.5,"Copper","270","2","2","1",0,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,31,37,NA,NA,NA,12,NA,NA,10,NA,NA,NA,NA,NA
"Eagle River Adit 2 (Lake Superior & Phoenix)",-3.33333333333333,8.88888888888889,12.2222222222222,"Copper","255","5","8","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle River Adit 3 (Lake Superior & Phoenix)",-3,6.16666666666667,9.16666666666667,"Copper","330","4","4","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,12,26,NA,NA,13,NA,0,NA,NA,NA,NA,NA,NA,NA
"East Evergreen 1",0,0,0,"Copper","285","6","10","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Evergreen 3",-3.5,-3.5,0,"Copper","295","6","20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Evergreen 5",Inf,-Inf,-Inf,"Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Evergreen 7",-2.5,-2.5,0,"Copper","240","6","15","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Evergreen Bluff Mine  (2, 4, 6)",Inf,-Inf,-Inf,"Copper","295",NA,NA,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eben Ice Caves",Inf,-Inf,-Inf,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eureka Mine (Norwich area)",5.5,5.5,0,"Copper","245","3","5","1",0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eureka Shaft #3",Inf,-Inf,-Inf,"Iron","999",NA,NA,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Farm Mine Shaft A",Inf,-Inf,-Inf,"Copper","330",NA,NA,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
