"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","date","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips","year","month","day"
"Devon Mine","Copper","0",NA,"NA","NA","1",0,NA,NA,NA,2005-04-02,"Low","0",NA,NA,NA,NA,NA,NA,NA,2005,4,2
"Disgusting Cave","Limestone","142",NA,NA,NA,"1",0,NA,NA,NA,2010-03-20,"Low","0",NA,NA,NA,NA,NA,NA,NA,2010,3,20
"Douglas Houghton Adit #1","Copper","128",NA,"4","4",NA,NA,NA,NA,NA,1980-11-01,"High","1","C","1",1,1,0,0,"0",1980,11,1
"Douglas Houghton Adit #1",NA,NA,NA,NA,NA,NA,NA,"20.5","35-42","99-100",1996-01-16,NA,"4","C","3",3,1,2,1,"0",1996,1,16
"Douglas Houghton Adit #1",NA,NA,NA,NA,NA,NA,NA,"22.1","41.9",NA,2015-12-27,NA,"2","c","1",1,0,1,1,"0",2015,12,27
"Douglas Houghton Adit #1",NA,NA,NA,NA,NA,NA,NA,"46F","3.0-5.1",NA,2024-02-27,NA,"2","c","0",0,0,0,2,"0",2024,2,27
"Douglas Houghton Adit #2","Copper","50",NA,NA,NA,"1",0,NA,NA,NA,1980-11-01,"Closed","0","C","0",NA,NA,NA,0,"0",1980,11,1
"Eagle Point Cave","Limestone","11",NA,"15","7","1",0,NA,NA,NA,2010-05-16,"High","0","C","0",0,NA,NA,0,"0",2010,5,16
"Eagle River Adit  1 (Lake Superior & Phoenix)","Copper","73","270","2","2","1",0,"26.2","40.6","100",1996-12-28,"Medium","37","C","37",37,25,12,0,"0",1996,12,28
"Eagle River Adit  1 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,">60",NA,NA,2006-05-02,NA,"36","C","36",0,NA,NA,0,"0",2006,5,2
"Eagle River Adit  1 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,"26.6","43.7","91",2011-12-24,NA,"31","C","31",31,25,6,0,"0",2011,12,24
"Eagle River Adit  1 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,NA,"39.200000000000003",NA,2013-03-03,NA,"37","c","37",0,NA,NA,0,"0",2013,3,3
"Eagle River Adit  1 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,2016-12-29,NA,"12","c","12",11,11,0,0,"0",2016,12,29
"Eagle River Adit  1 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,"27","43.7","93.1",2020-01-01,NA,"10",NA,"10",10,10,0,0,"0",2020,1,1
"Eagle River Adit 2 (Lake Superior & Phoenix)","Copper","35","255","5","8","1",0,NA,"26",NA,2001-01-19,"Medium","0","C","0",0,NA,NA,0,"0",2001,1,19
"Eagle River Adit 2 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,2001-11-02,NA,"6","C","5",5,1,4,0,"1",2001,11,2
"Eagle River Adit 2 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,"26.6","32","89",2011-12-24,NA,"4","C","4",4,0,4,0,"0",2011,12,24
"Eagle River Adit 2 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,NA,"32.9",NA,2013-03-03,NA,"0","c","0",NA,NA,NA,0,"0",2013,3,3
"Eagle River Adit 2 (Lake Superior & Phoenix)",NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,2016-12-29,NA,"0","c","0",0,0,0,0,"0",2016,12,29
