"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"B-95 (cave)","Dolomite","30",NA,NA,NA,NA,0,NA,NA,NA,"43090",NA,NA,"Low","0",NA,"0",0,0,0,0,"0"
"B-95 (cave)",NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,"43421",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Bad Breath Cave","Limestone","?",NA,NA,NA,"1",0,NA,NA,NA,"40257",NA,NA,"Low","0","E","0",0,NA,NA,0,"0"
"Bate's Mine","Iron","75-100","NA",NA,NA,"0",1,NA,NA,NA,"38414",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Bear Cave","Tufa","200",NA,"1","2","1",0,NA,"48-50",NA,"38706",NA,NA,"Low","52","C","19",0,NA,NA,1,"32"
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,"30-32","44-49","100","41351",NA,NA,NA,"29","C","4",2,1,1,0,"25"
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,NA,"37.4-48.2",NA,"41687",NA,NA,NA,"23","C","5",2,0,2,0,"18"
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,NA,"45.5-46.7",NA,"42083",NA,NA,NA,"20","c","1",1,0,1,0,"19"
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,"28","44.6-50",NA,"42797",NA,NA,NA,"1","c","0",0,0,0,0,"1"
"Bear Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43513",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Beaten's Cave","Copper","215","60","4","3.5","1",0,"23.6","34.7-43.3","60","35810",NA,NA,"Medium","77","C","68",24,17,7,9,"0"
"Beaten's Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40238",NA,NA,NA,"112","C","98",0,NA,NA,13,"1"
