"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"Mastodon #2 Shaft","Iron",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,"Closed","0",NA,NA,NA,NA,NA,NA,NA
"Mead Adit of Carp Lake Mine","Copper","2725","180","2","2","1",0,NA,"48-50","92-100","35122",NA,NA,"Low","13540","C","13539",65,64,1,1,"0"
"Mead Adit of Carp Lake Mine",NA,NA,NA,"2.5","4",NA,NA,NA,"45.6",NA,"35884",NA,NA,NA,"14048","C","14046",0,NA,NA,0,"2"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36875",NA,NA,NA,"16739","C","16735",0,NA,NA,0,"4"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"42.2-46.2",NA,"38352",NA,NA,NA,"13346","C","13342",0,NA,NA,0,"4"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,"39892",NA,NA,NA,"17511","C","17508",0,NA,NA,0,"3"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4-47.3","91","40605",NA,NA,NA,"19265","C","19263",0,NA,NA,0,"2"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.9",NA,"41338",NA,NA,NA,"17702","C","17700",0,NA,NA,0,"2"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42060",NA,NA,NA,"15973","c","15971",1048,1024,24,0,"2"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,"23","46.4-47.3",NA,"42781",NA,NA,NA,"92","c","92",91,91,0,0,"0"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.7-48.5",NA,"43523",NA,NA,NA,"208",NA,"208",207,207,0,0,"0"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43808",NA,NA,NA,"316",NA,"312",315,312,3,0,"1"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44513",NA,NA,NA,"513",NA,"513",513,510,3,0,"0"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44628",NA,NA,NA,"486",NA,"486",486,484,2,0,"0"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45027",NA,NA,NA,"546","c","546",320,320,0,0,"0"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45239",NA,NA,NA,"993","c","992",105,104,1,1,"0"
"Mead Adit of Carp Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"4.4-7.2",NA,"45404",NA,NA,NA,"700","c","700",129,129,0,0,"0"
"Merchant Mine","Copper","641","170","2","2","2",0,NA,"30–44.7","95","39878",NA,NA,"Low","213","C","208",NA,NA,NA,3,"2"
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40627",NA,NA,NA,"224","C","217",0,NA,NA,1,"6"
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41244",NA,NA,NA,"225","C","214",214,206,8,5,"6"
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,"32","41.9",NA,"42778",NA,NA,NA,"53","C","48",46,45,1,5,"0"
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,"44","37.4-45.5","84.3-93.4","43449",NA,NA,NA,"18",NA,"12",11,11,0,9,"0"
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44665",NA,NA,NA,"45",NA,"38",38,38,0,7,"0"
"Merchant Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45030",NA,NA,NA,"40",NA,"33",33,33,0,7,"0"
"Merchant's Adit North","Copper","105","270","2.25","1.5","1",NA,NA,"46.4","85","36144",NA,NA,"High","11","C","5",5,0,5,6,"0"
"Merchant's Adit North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40239",NA,NA,NA,"21","C","16",0,NA,NA,5,"0"
"Merchant's Adit North",NA,NA,NA,NA,NA,NA,NA,NA,"41.9","86","43098",NA,NA,NA,"2",NA,"0",NA,0,0,2,"0"
"Merchant's Adit South","Copper","60","270","5","7","1",0,NA,"42.8","77","36144",NA,NA,"High","1","C","1",1,0,1,0,"0"
"Merchant's Adit South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40239",NA,NA,NA,"21","C","16",0,NA,NA,5,"0"
"Merchant's Adit South",NA,NA,NA,NA,NA,NA,NA,NA,"31.1","64","43098",NA,NA,NA,"1",NA,"0",NA,0,0,1,"0"
"Merriweather Shaft 1","Copper","30",NA,NA,NA,"0",1,NA,NA,NA,NA,NA,NA,"Low","0","E",NA,NA,NA,NA,0,"0"
"Merriweather Shaft 2","Copper","30",NA,"6","10","0",1,NA,NA,NA,"40419",NA,NA,"Low","0","E",NA,0,NA,NA,0,"0"
"Merriweather Shaft 3","Copper","90","350","6","10","1",1,NA,"33","95","12","28",NA,"Medium","0","C","0",NA,NA,NA,0,"0"
"Michigan (A Shaft)","Copper",">400","NA","2.5","2.5",">1",1,NA,"41",NA,"37253",NA,NA,"Low","1610","C/E","1610",0,NA,NA,0,"0"
"Millie Mine","Iron","600","NA",NA,NA,"3",1,NA,NA,NA,"33949",NA,NA,"Low","ca. 50,000","E","ca. 50,000",NA,NA,NA,0,"0"
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ca. 37,000","E","ca. 37,000",NA,NA,NA,0,"0"
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,NA,"44","100","39886",NA,NA,NA,"5390","C","5390",0,NA,NA,0,"0"
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,NA,"44.6-48.2","84-96","40265",NA,NA,NA,">24,000","C",">24,000",0,NA,NA,0,"0"
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43149",NA,NA,NA,"5723",NA,NA,NA,NA,NA,0,"0"
"Millie Mine",NA,NA,NA,NA,NA,NA,NA,"44","43-48",NA,"43885",NA,NA,NA,"2765",NA,"2765",0,NA,NA,0,"o"
"Nassau Mine","Copper","1300","270",NA,NA,"1",0,NA,"47.1",NA,"39026",NA,NA,"Low","4635","C","4634",0,NA,NA,1,"0"
"National Mine #7","Copper",">250","360","10","20","1",0,"35.799999999999997","38.3-42.8","72-89","36146",NA,NA,"Low","984","C","969",25,25,0,15,"0"
"National Mine #7",NA,NA,NA,NA,NA,NA,NA,"27","37-48",NA,"43784",NA,NA,NA,"198",NA,"194",194,194,0,4,"0"
"National Mine #3","Copper","100","330","15","20","1",1,NA,"23.9",NA,"37254",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Nebraska Mine","Copper","1500",NA,"7","12","1",0,"18.7","29-39.3","88","35415",NA,NA,"Low","700","E",NA,NA,NA,NA,NA,NA
"New Algoma","Copper","0","NA","NA","NA","0",0,"27.5","NA","NA","35810",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"New Indiana Shaft",NA,"125","NA","17","17","0",1,NA,NA,NA,"40997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North American Adit","Copper","43","325","3","6","1",0,"25","37.9","100","35427",NA,NA,"Medium","1","C","1",1,0,1,0,"0"
"North American Adit",NA,NA,NA,NA,NA,NA,NA,NA,"35.6-36.5","100","36910",NA,NA,NA,"5","C","5",0,NA,NA,0,"0"
"North American Adit",NA,NA,NA,NA,NA,NA,NA,NA,"33.799999999999997",NA,"42367",NA,NA,NA,"2","c","2",2,0,2,0,"0"
"North American Adit",NA,NA,NA,NA,NA,NA,NA,"27","32.9",NA,"42731",NA,NA,NA,"0","c","0",0,0,0,0,"0"
"North Belt Mine","Copper","625","37","3","5","2",2,"27","34.5-44.9","90-100","35798",NA,NA,"Low","601","C","588",0,NA,NA,12,"1"
"North Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37315",NA,NA,NA,"1134","C","1118",NA,NA,NA,15,"1"
"North Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,"32.7-40.5","86-88","39879",NA,NA,NA,"1071","C","1054",0,NA,NA,14,"3"
"North Belt Mine",NA,NA,NA,NA,NA,NA,NA,"28.4","36.5-39.2","82","40627",NA,NA,NA,"1129","C","1120",0,NA,NA,9,"0"
"North Cliff Mine (Shaft #3?)","Copper","752","NA","3.5","2.5","2",1,"27.5","45-48","92-100","35426",NA,NA,"Medium","2958","C","2958",50,50,0,0,"0"
"North Cliff Mine (Shaft #3?)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42424",NA,NA,NA,"29","c","29",29,29,0,0,"0"
"North Cliff Mine (Shaft #3?)",NA,NA,NA,NA,NA,NA,NA,NA,"4.7",NA,"45338",NA,NA,NA,"26","c","26",26,26,0,0,"0"
"North Lake Mine","Copper",">70","NA","10","20","1",1,"29",NA,NA,"1","15",NA,"Low","0","C","0",0,NA,NA,0,"0"
"Norway Mine","Iron","274",NA,"6","20","2",0,"22","21-41","97-100","35067",NA,NA,"Medium","23920","E","23855",77,76,1,65,"0"
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,"22.5","20-40.9","97-100","35796",NA,NA,"Low","18979","E","18781",0,NA,NA,198,"0"
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,NA,"39.5-42.4",NA,"38350",NA,NA,NA,"16796","C","16676",0,NA,NA,120,"0"
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41706",NA,NA,NA,NA,NA,NA,1815,1815,0,NA,"0"
