"site","averageinternaltempc","lowestinternaltempc","highestinternaltempc","temperaturedifferencec","ore","lengthofpassagem","numberofentrancesforhumanaccess","numberoflevels","year","count","entrances","slope"
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2020,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2020,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2020,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2020,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2020,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2021,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2021,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2021,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2021,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2021,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2021,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2022,42,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2022,42,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2022,42,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2022,42,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2022,42,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2022,42,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2023,26,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2023,26,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2023,26,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2023,26,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2023,26,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2023,26,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2024,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2024,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2024,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2024,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2024,NA,1,2.30769230769248
"Adventure Adit/ Rock Fall",NA,6.61111111111111,8,1.38888888888889,"copper",93.2642487046632,"1",1,2024,NA,1,2.30769230769248
"Adventure Mine",NA,-4.16666666666667,8.77777777777778,12.9444444444444,"copper",2690.94788174337,"3",2,1980,NA,3,134.249999999988
"Adventure Mine",NA,-4.16666666666667,8.77777777777778,12.9444444444444,"copper",2690.94788174337,"3",2,1980,NA,3,134.249999999988
"Adventure Mine",NA,-4.16666666666667,8.77777777777778,12.9444444444444,"copper",2690.94788174337,"3",2,1980,NA,3,134.249999999988
"Adventure Mine",NA,-4.16666666666667,8.77777777777778,12.9444444444444,"copper",2690.94788174337,"3",2,1980,NA,3,134.249999999988
"Adventure Mine",NA,-4.16666666666667,8.77777777777778,12.9444444444444,"copper",2690.94788174337,"3",2,1980,NA,3,134.249999999988
"Adventure Mine",NA,-4.16666666666667,8.77777777777778,12.9444444444444,"copper",2690.94788174337,"3",2,1993,NA,3,134.249999999988
