"site","slope","intercept","relative_year","predicted_count","source"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,3,0.511326860841424,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,4,0.53074433656958,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,5,0.550161812297735,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,6,0.56957928802589,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,7,0.588996763754046,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,8,0.608414239482201,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,9,0.627831715210356,"Trend Line"
"Hilton (Shaft 1)",0.0194174757281553,0.453074433656958,10,0.647249190938511,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,0,0,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,1,0.00312642793583608,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,2,0.00625285587167216,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,3,0.00937928380750824,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,4,0.0125057117433443,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,5,0.0156321396791804,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,6,0.0187585676150165,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,7,0.0218849955508526,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,8,0.0250114234866886,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,9,0.0281378514225247,"Trend Line"
"Iron Mountain Iron Mine (Tourist Mine)",0.00312642793583608,0,10,0.0312642793583608,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,0,-0.000160784628989465,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,1,0.0170431706728837,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,2,0.0342471259747568,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,3,0.0514510812766299,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,4,0.0686550365785031,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,5,0.0858589918803762,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,6,0.103062947182249,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,7,0.120266902484123,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,8,0.137470857785996,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,9,0.154674813087869,"Trend Line"
"Jones' Adit",0.0172039553018731,-0.000160784628989465,10,0.171878768389742,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,0,-0.0208134072028826,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,1,0.0341195507672688,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,2,0.0890525087374202,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,3,0.143985466707572,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,4,0.198918424677723,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,5,0.253851382647874,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,6,0.308784340618026,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,7,0.363717298588177,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,8,0.418650256558329,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,9,0.47358321452848,"Trend Line"
"Keel Ridge Shaft",0.0549329579701514,-0.0208134072028826,10,0.528516172498631,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,0,3.92523114670944e-17,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,1,0.0523025795220763,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,2,0.104605159044153,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,3,0.156907738566229,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,4,0.209210318088305,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,5,0.261512897610381,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,6,0.313815477132458,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,7,0.366118056654534,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,8,0.41842063617661,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,9,0.470723215698687,"Trend Line"
"Lafayette East Shaft",0.0523025795220763,3.92523114670944e-17,10,0.523025795220763,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,0,0,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,1,0.00934579439252336,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,2,0.0186915887850467,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,3,0.0280373831775701,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,4,0.0373831775700935,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,5,0.0467289719626168,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,6,0.0560747663551402,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,7,0.0654205607476635,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,8,0.0747663551401869,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,9,0.0841121495327103,"Trend Line"
"Mass  C Adit",0.00934579439252336,0,10,0.0934579439252336,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,0,-0.00178813513733629,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,1,0.00357206289787885,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,2,0.008932260933094,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,3,0.0142924589683091,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,4,0.0196526570035243,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,5,0.0250128550387394,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,6,0.0303730530739546,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,7,0.0357332511091697,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,8,0.0410934491443848,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,9,0.0464536471796,"Trend Line"
"Mead Adit of Carp Lake Mine",0.00536019803521514,-0.00178813513733629,10,0.0518138452148151,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,0,0.0129708599857854,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,1,0.0389125799573561,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,2,0.0648542999289268,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,3,0.0907960199004975,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,4,0.116737739872068,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,5,0.142679459843639,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,6,0.16862117981521,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,7,0.19456289978678,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,8,0.220504619758351,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,9,0.246446339729922,"Trend Line"
"Merchant Mine",0.0259417199715707,0.0129708599857854,10,0.272388059701492,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,0,3.92523114670944e-17,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,1,0.0778176516765729,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,2,0.155635303353146,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,3,0.233452955029718,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,4,0.311270606706291,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,5,0.389088258382864,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,6,0.466905910059437,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,7,0.54472356173601,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,8,0.622541213412583,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,9,0.700358865089155,"Trend Line"
"Norway Mine",0.0778176516765728,3.92523114670944e-17,10,0.778176516765728,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,0,0.000619892927585236,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,1,0.000958016342631728,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,2,0.00129613975767822,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,3,0.00163426317272471,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,4,0.0019723865877712,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,5,0.00231051000281769,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,6,0.00264863341786419,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,7,0.00298675683291068,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,8,0.00332488024795717,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,9,0.00366300366300366,"Trend Line"
"Quinnesec Adit",0.000338123415046492,0.000619892927585236,10,0.00400112707805015,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,0,0,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,1,0.00716845878136201,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,2,0.014336917562724,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,3,0.021505376344086,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,4,0.028673835125448,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,5,0.03584229390681,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,6,0.043010752688172,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,7,0.0501792114695341,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,8,0.0573476702508961,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,9,0.0645161290322581,"Trend Line"
"Rockport Quarry North Tunnel",0.00716845878136201,0,10,0.0716845878136201,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,0,0,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,1,0.0155642023346304,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,2,0.0311284046692607,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,3,0.0466926070038911,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,4,0.0622568093385214,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,5,0.0778210116731518,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,6,0.0933852140077821,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,7,0.108949416342412,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,8,0.124513618677043,"Trend Line"
"South Bluff Adit",0.0155642023346304,0,9,0.140077821011673,"Trend Line"
